Round,Date,Team 1,Team 2,FT,HT
?,(Sun) Aug/11 1996 (32),Bastia (1),Rennes (1),2-0,1-0
?,(Sun) Aug/11 1996 (32),Bordeaux (1),Le Havre (1),1-0,1-0
?,(Sun) Aug/11 1996 (32),Caen (1),Lens (1),0-2,0-1
?,(Sun) Aug/11 1996 (32),Guingamp (1),Montpellier (1),0-0,0-0
?,(Sun) Aug/11 1996 (32),Lille (1),Metz (1),1-0,0-0
?,(Sun) Aug/11 1996 (32),Marseille (1),Lyon (1),3-1,1-1
?,(Sun) Aug/11 1996 (32),Nancy (1),Cannes (1),1-2,0-1
?,(Sun) Aug/11 1996 (32),Nantes (1),Monaco (1),1-3,0-1
?,(Sun) Aug/11 1996 (32),Nice (1),Auxerre (1),0-1,0-1
?,(Sun) Aug/11 1996 (32),Strasbourg (1),Paris SG (1),0-1,0-1
?,(Sat) Aug/17 1996 (33),Auxerre (2),Lille (2),2-0,0-0
?,(Sat) Aug/17 1996 (33),Bastia (2),Guingamp (2),1-0,1-0
?,(Sat) Aug/17 1996 (33),Cannes (2),Nantes (2),1-1,1-0
?,(Sat) Aug/17 1996 (33),Le Havre (2),Marseille (2),1-1,0-1
?,(Sat) Aug/17 1996 (33),Lens (2),Nancy (2),3-1,0-1
?,(Sat) Aug/17 1996 (33),Lyon (2),Strasbourg (2),2-0,1-0
?,(Sat) Aug/17 1996 (33),Metz (2),Bordeaux (2),1-1,0-0
?,(Sat) Aug/17 1996 (33),Monaco (2),Montpellier (2),1-1,1-1
?,(Sat) Aug/17 1996 (33),Paris SG (2),Caen (2),2-0,0-0
?,(Sat) Aug/17 1996 (33),Rennes (2),Nice (2),3-1,1-0
?,(Fri) Aug/23 1996 (34),Nancy (3),Paris SG (3),0-0,0-0
?,(Sat) Aug/24 1996 (34),Bordeaux (3),Auxerre (3),0-0,0-0
?,(Sat) Aug/24 1996 (34),Caen (3),Lyon (3),1-1,0-0
?,(Sat) Aug/24 1996 (34),Guingamp (3),Monaco (3),2-1,2-1
?,(Sat) Aug/24 1996 (34),Lille (3),Rennes (3),3-1,0-0
?,(Sat) Aug/24 1996 (34),Marseille (3),Metz (3),1-2,1-0
?,(Sat) Aug/24 1996 (34),Montpellier (3),Cannes (3),0-1,0-1
?,(Sat) Aug/24 1996 (34),Nantes (3),Lens (3),0-1,0-0
?,(Sat) Aug/24 1996 (34),Nice (3),Bastia (3),1-1,1-0
?,(Sat) Aug/24 1996 (34),Strasbourg (3),Le Havre (3),1-0,0-0
?,(Tue) Aug/27 1996 (35),Auxerre (4),Marseille (4),0-0,0-0
?,(Wed) Aug/28 1996 (35),Bastia (4),Lille (4),0-0,0-0
?,(Wed) Aug/28 1996 (35),Cannes (4),Monaco (4),0-2,0-1
?,(Wed) Aug/28 1996 (35),Le Havre (4),Caen (4),1-1,1-1
?,(Wed) Aug/28 1996 (35),Lens (4),Montpellier (4),3-2,1-2
?,(Wed) Aug/28 1996 (35),Lyon (4),Nancy (4),2-0,2-0
?,(Wed) Aug/28 1996 (35),Metz (4),Strasbourg (4),3-1,1-0
?,(Wed) Aug/28 1996 (35),Nice (4),Guingamp (4),1-2,0-1
?,(Wed) Aug/28 1996 (35),Paris SG (4),Nantes (4),1-0,1-0
?,(Wed) Aug/28 1996 (35),Rennes (4),Bordeaux (4),1-1,1-0
?,(Mon) Sep/2 1996 (36),Nantes (5),Lyon (5),2-2,1-1
?,(Tue) Sep/3 1996 (36),Bordeaux (5),Bastia (5),3-1,1-0
?,(Tue) Sep/3 1996 (36),Caen (5),Metz (5),0-0,0-0
?,(Tue) Sep/3 1996 (36),Guingamp (5),Cannes (5),0-1,0-0
?,(Tue) Sep/3 1996 (36),Lille (5),Nice (5),3-2,1-1
?,(Tue) Sep/3 1996 (36),Marseille (5),Rennes (5),3-1,3-0
?,(Tue) Sep/3 1996 (36),Monaco (5),Lens (5),5-1,4-0
?,(Tue) Sep/3 1996 (36),Montpellier (5),Paris SG (5),0-3,0-0
?,(Tue) Sep/3 1996 (36),Nancy (5),Le Havre (5),0-1,0-1
?,(Tue) Sep/3 1996 (36),Strasbourg (5),Auxerre (5),2-1,2-0
?,(Fri) Sep/6 1996 (36),Auxerre (6),Caen (6),2-0,2-0
?,(Fri) Sep/6 1996 (36),Le Havre (6),Nantes (6),3-1,1-1
?,(Fri) Sep/6 1996 (36),Lens (6),Cannes (6),0-0,0-0
?,(Fri) Sep/6 1996 (36),Lille (6),Guingamp (6),1-1,0-0
?,(Fri) Sep/6 1996 (36),Lyon (6),Montpellier (6),1-1,1-0
?,(Fri) Sep/6 1996 (36),Metz (6),Nancy (6),1-0,0-0
?,(Fri) Sep/6 1996 (36),Paris SG (6),Monaco (6),0-0,0-0
?,(Fri) Sep/6 1996 (36),Rennes (6),Strasbourg (6),2-0,1-0
?,(Sun) Sep/8 1996 (36),Bastia (6),Marseille (6),2-0,2-0
?,(Mon) Sep/9 1996 (37),Nice (6),Bordeaux (6),0-1,0-1
?,(Sat) Sep/14 1996 (37),Bordeaux (7),Lille (7),3-0,0-0
?,(Sat) Sep/14 1996 (37),Caen (7),Rennes (7),0-0,0-0
?,(Sat) Sep/14 1996 (37),Guingamp (7),Lens (7),1-0,0-0
?,(Sat) Sep/14 1996 (37),Marseille (7),Nice (7),1-0,0-0
?,(Sat) Sep/14 1996 (37),Monaco (7),Lyon (7),0-0,0-0
?,(Sat) Sep/14 1996 (37),Montpellier (7),Le Havre (7),2-1,1-1
?,(Sat) Sep/14 1996 (37),Nancy (7),Auxerre (7),0-0,0-0
?,(Sat) Sep/14 1996 (37),Nantes (7),Metz (7),0-1,0-1
?,(Sat) Sep/14 1996 (37),Strasbourg (7),Bastia (7),1-3,1-1
?,(Sun) Sep/15 1996 (37),Cannes (7),Paris SG (7),0-1,0-0
?,(Thu) Sep/19 1996 (38),Auxerre (8),Nantes (8),2-2,2-2
?,(Fri) Sep/20 1996 (38),Bastia (8),Caen (8),4-2,1-1
?,(Fri) Sep/20 1996 (38),Bordeaux (8),Guingamp (8),0-0,0-0
?,(Fri) Sep/20 1996 (38),Le Havre (8),Monaco (8),1-2,0-0
?,(Fri) Sep/20 1996 (38),Lille (8),Marseille (8),1-1,1-0
?,(Fri) Sep/20 1996 (38),Lyon (8),Cannes (8),3-1,2-0
?,(Fri) Sep/20 1996 (38),Metz (8),Montpellier (8),1-1,1-1
?,(Fri) Sep/20 1996 (38),Nice (8),Strasbourg (8),1-1,0-1
?,(Fri) Sep/20 1996 (38),Paris SG (8),Lens (8),4-0,2-0
?,(Fri) Sep/20 1996 (38),Rennes (8),Nancy (8),1-0,0-0
?,(Sat) Sep/28 1996 (39),Caen (9),Nice (9),1-2,?
?,(Sat) Sep/28 1996 (39),Cannes (9),Le Havre (9),2-0,2-0
?,(Sat) Sep/28 1996 (39),Lens (9),Lyon (9),0-1,0-0
?,(Sat) Sep/28 1996 (39),Marseille (9),Bordeaux (9),0-0,0-0
?,(Sat) Sep/28 1996 (39),Monaco (9),Metz (9),1-1,0-1
?,(Sat) Sep/28 1996 (39),Montpellier (9),Auxerre (9),0-0,0-0
?,(Sat) Sep/28 1996 (39),Nancy (9),Bastia (9),2-2,2-1
?,(Sat) Sep/28 1996 (39),Nantes (9),Rennes (9),3-3,1-1
?,(Sat) Sep/28 1996 (39),Strasbourg (9),Lille (9),3-0,0-0
?,(Sun) Sep/29 1996 (39),Guingamp (9),Paris SG (9),2-2,2-1
?,(Tue) Oct/1 1996 (40),Le Havre (10),Lens (10),0-0,0-0
?,(Wed) Oct/2 1996 (40),Auxerre (10),Monaco (10),2-0,0-0
?,(Wed) Oct/2 1996 (40),Bastia (10),Nantes (10),0-0,0-0
?,(Wed) Oct/2 1996 (40),Bordeaux (10),Strasbourg (10),1-2,0-0
?,(Wed) Oct/2 1996 (40),Lille (10),Caen (10),1-0,1-0
?,(Wed) Oct/2 1996 (40),Lyon (10),Paris SG (10),1-1,0-0
?,(Wed) Oct/2 1996 (40),Marseille (10),Guingamp (10),2-1,1-0
?,(Wed) Oct/2 1996 (40),Metz (10),Cannes (10),0-0,0-0
?,(Wed) Oct/2 1996 (40),Nice (10),Nancy (10),1-0,1-0
?,(Wed) Oct/2 1996 (40),Rennes (10),Montpellier (10),2-0,1-0
?,(Sat) Oct/5 1996 (40),Caen (11),Bordeaux (11),0-0,0-0
?,(Sat) Oct/5 1996 (40),Cannes (11),Auxerre (11),1-1,1-0
?,(Sat) Oct/5 1996 (40),Guingamp (11),Lyon (11),1-0,1-0
?,(Sat) Oct/5 1996 (40),Lens (11),Metz (11),2-2,0-2
?,(Sat) Oct/5 1996 (40),Monaco (11),Rennes (11),3-1,2-1
?,(Sat) Oct/5 1996 (40),Montpellier (11),Bastia (11),3-1,2-0
?,(Sat) Oct/5 1996 (40),Nancy (11),Lille (11),2-2,1-1
?,(Sat) Oct/5 1996 (40),Nantes (11),Nice (11),7-0,3-0
?,(Sat) Oct/5 1996 (40),Paris SG (11),Le Havre (11),2-0,1-0
?,(Sat) Oct/5 1996 (40),Strasbourg (11),Marseille (11),2-1,0-0
?,(Sat) Oct/12 1996 (41),Auxerre (12),Lens (12),1-0,0-0
?,(Sat) Oct/12 1996 (41),Bastia (12),Monaco (12),0-0,0-0
?,(Sat) Oct/12 1996 (41),Bordeaux (12),Nancy (12),0-1,0-1
?,(Sat) Oct/12 1996 (41),Le Havre (12),Lyon (12),4-1,2-1
?,(Sat) Oct/12 1996 (41),Lille (12),Nantes (12),3-3,2-1
?,(Sat) Oct/12 1996 (41),Marseille (12),Caen (12),0-1,0-0
?,(Sat) Oct/12 1996 (41),Metz (12),Paris SG (12),0-1,0-1
?,(Sat) Oct/12 1996 (41),Nice (12),Montpellier (12),1-1,1-1
?,(Sat) Oct/12 1996 (41),Strasbourg (12),Guingamp (12),2-1,2-1
?,(Sun) Oct/13 1996 (41),Rennes (12),Cannes (12),3-0,1-0
?,(Sat) Oct/19 1996 (42),Caen (13),Strasbourg (13),3-0,1-0
?,(Sat) Oct/19 1996 (42),Cannes (13),Bastia (13),1-1,1-0
?,(Sat) Oct/19 1996 (42),Guingamp (13),Le Havre (13),2-2,1-0
?,(Sat) Oct/19 1996 (42),Lens (13),Rennes (13),2-0,1-0
?,(Sat) Oct/19 1996 (42),Lyon (13),Metz (13),0-0,0-0
?,(Sat) Oct/19 1996 (42),Monaco (13),Nice (13),4-1,1-1
?,(Sat) Oct/19 1996 (42),Montpellier (13),Lille (13),0-1,0-1
?,(Sat) Oct/19 1996 (42),Nancy (13),Marseille (13),0-0,0-0
?,(Sat) Oct/19 1996 (42),Nantes (13),Bordeaux (13),3-1,2-0
